comp50, C1SC=CC=1C#N, 1, C1%91SC=CC=1C#N.[*]%91
comp51, C1SC=CC=1Cl, 3, C1SC%91=CC=1Cl.[*]%91
comp52, C1SC=CC=1Cl, 1, C1%91SC=CC=1Cl.[*]%91
comp53, C1SC=CC=1C1=CC=C(C)C=C1, 3, C1SC%91=CC=1C1=CC=C(C)C=C1.[*]%91
comp54, C1SC=CC=1C1=CC=C(C)C=C1, 1, C1%91SC=CC=1C1=CC=C(C)C=C1.[*]%91
comp55, C1(Br)SC(Br)=CC=1, 7, C1(Br)SC(Br)=CC%91=1.[*]%91
comp56, C1(C)SC(C)=CC=1, 2, C1(=C%91C=C(C)S1)C.[*]%91
comp57, C1(=CC=C(Br)S1)Cl, 2, C1(=C%91C=C(Br)S1)Cl.[*]%91
comp58, C1(=CC=C(Br)S1)Cl, 3, C1(=CC%91=C(Br)S1)Cl.[*]%91
comp59, C1(=CC=C(C)S1)Cl, 2, C1(=C%91C=C(C)S1)Cl.[*]%91
comp60, C1(=CC=C(C)S1)Cl, 3, C1(=CC%91=C(C)S1)Cl.[*]%91
comp61, C1(=CC=C(I)S1)Cl, 2, C1(=C%91C=C(I)S1)Cl.[*]%91
comp62, C1(=CC=C(I)S1)Cl, 3, C1(=CC%91=C(I)S1)Cl.[*]%91
comp63, C1=CC=CN1C, 4, C1=CC=C%91N1C.[*]%91
comp64, C1=CC=CN1C, 3, C1=CC%91=CN1C.[*]%91
comp65, C1=CC=CN1O[Si](C)(C)C, 4, C1=CC=C%91N1O[Si](C)(C)C.[*]%91
comp66, C1=CC=CN1O[Si](C)(C)C, 3, C1=CC%91=CN1O[Si](C)(C)C.[*]%91
comp67, C1=CC=CN1C(=O)OC(C)(C)C, 3, C1=CC%91=CN1C(=O)OC(C)(C)C.[*]%91
comp68, S1C=CC=C1C1SCCCS1, 4, S1C=CC%91=C1C1SCCCS1.[*]%91
comp69, S1C=CC(C#N)=C1, 2, S1C%91=CC(C#N)=C1.[*]%91
