comp1 10.1021/ja412563e
comp2 10.1021/ja412563e
comp3 10.1021/ja412563e
comp4 10.1021/ja412563e
comp5 10.1021/ja412563e
comp6 10.1021/ja412563e
comp7 10.1021/ja412563e
comp8 10.1021/ja412563e
comp9 10.1021/ja412563e
comp10 10.1021/ja412563e
comp11 10.1021/ja412563e
comp12 10.1021/ja412563e
comp13 10.1021/ja412563e
comp14 10.1021/ja412563e
comp15 10.1021/ja412563e
comp16 10.1021/ja412563e
comp17 10.1021/ja412563e
comp18 10.1021/ja412563e
comp19 10.1021/ja412563e
comp20 10.1021/ja412563e
comp21 10.1021/ja412563e
comp22 10.1021/ja412563e
comp23 10.1021/ja412563e
comp24 10.1021/ja412563e
comp25 10.1021/ja412563e
comp26 10.1021/ja412563e
